#scenario=static,seed=1,durationSec=60,commit=unknown,hardware=unknown
frameNumber,timestampMs,dtMs,cpuRebuildMs,gpuBusyMs,bytesUploaded,uploadBudget,chunksRebuilt,drawCalls,triangles,vramLiveBytes
1,0.0004,1848.92,0,0,0,0,0,65,19686,43499080
2,113.227,259.622,0,0,0,0,0,127,37493,44888000
3,202.096,107.617,0,0,0,0,0,178,52156,46031688
4,274.363,88.8658,0,0,0,0,0,222,64928,47027904
5,347.95,72.2747,0,0,0,0,0,259,77300,47992920
6,408.474,73.5825,0,0,0,0,0,291,87617,48802664
7,466.769,60.5207,0,0,0,0,0,322,97040,49564464
8,522.758,58.2979,0,0,0,0,0,347,103477,50072816
9,583.424,55.9966,0,0,0,0,0,373,109381,50562656
10,639.567,60.6572,0,0,0,0,0,399,116324,51099504
11,710.079,56.146,0,0,0,0,0,427,124744,51731616
12,776.039,70.5102,0,0,0,0,0,455,133238,52441624
13,838.282,65.9569,0,0,0,0,0,482,141686,53133536
14,902.06,62.4685,0,0,0,0,0,509,148914,53697320
15,970.013,63.5523,0,0,0,0,0,537,155844,54265264
16,1037.66,67.9607,0,0,0,0,0,566,162625,54838720
17,1116.38,67.7025,0,0,0,0,0,596,170048,55472392
18,1181.84,78.6612,0,0,0,0,0,624,180402,56351192
19,1249.67,65.4621,0,0,0,0,0,655,189910,57129424
20,1320.95,67.8301,0,0,0,0,0,683,198598,57865328
21,1400.09,71.2769,0,0,0,0,0,715,208574,58859984
22,1470.81,79.1377,0,0,0,0,0,748,221273,59960824
23,1538.17,70.7343,0,0,0,0,0,781,231333,60760064
24,1602.19,67.3556,0,0,0,0,0,800,236130,61297016
25,1678.8,64.0087,0,0,0,0,0,827,243978,62033440
26,1752.11,76.617,0,0,0,0,0,858,253008,62837152
27,1818.75,73.3152,0,0,0,0,0,888,263214,63754952
28,1860.42,66.6263,0,0,0,0,0,895,265414,64089728
29,1895.91,41.9438,0,0,0,0,0,902,267902,64274744
30,1931.55,35.2091,0,0,0,0,0,909,270938,64560224
31,1971.08,35.654,0,0,0,0,0,921,278440,65230296
32,2012.81,39.7434,0,0,0,0,0,935,284093,65649104
33,2046.33,41.5111,0,0,0,0,0,943,287406,65858352
34,2077.78,33.5174,0,0,0,0,0,949,289314,66041392
35,2115.81,31.5262,0,0,0,0,0,958,292217,66285896
36,2152.37,37.9599,0,0,0,0,0,968,296474,66601536
37,2197.47,36.5591,0,0,0,0,0,986,303996,67242800
38,2232.64,45.0892,0,0,0,0,0,996,308862,67662960
39,2264.85,35.1997,0,0,0,0,0,1004,311590,67902056
40,2302.73,32.1842,0,0,0,0,0,1016,315961,68233504
41,2333.98,37.8729,0,0,0,0,0,1023,317850,68393248
42,2370.01,31.2704,0,0,0,0,0,1031,320400,68578576
43,2413.54,36.0173,0,0,0,0,0,1044,328038,69211000
44,2456.38,43.5311,0,0,0,0,0,1056,334082,69885856
45,2494.94,43.0654,0,0,0,0,0,1071,338776,70320784
46,2531.36,38.3315,0,0,0,0,0,1080,342580,70684160
47,2564.3,36.4204,0,0,0,0,0,1089,345985,71023304
48,2595.01,33.1016,0,0,0,0,0,1096,348109,71140824
49,2639.68,30.5565,0,0,0,0,0,1108,353518,71676320
50,2684.19,44.6643,0,0,0,0,0,1127,362696,72330376
51,2723.07,44.5006,0,0,0,0,0,1135,366745,72659328
52,2762.63,38.886,0,0,0,0,0,1146,371478,73119008
53,2796.54,39.5551,0,0,0,0,0,1156,375218,73413120
54,2834.08,33.9143,0,0,0,0,0,1165,380264,73777328
55,2877.78,37.5539,0,0,0,0,0,1180,385461,74299616
56,2915.43,43.6918,0,0,0,0,0,1191,390017,74654984
57,2952.32,37.645,0,0,0,0,0,1202,394440,75143472
58,2988.39,36.8931,0,0,0,0,0,1213,396532,75297184
59,3026.34,36.0699,0,0,0,0,0,1224,400564,75722960
60,3058.6,37.949,0,0,0,0,0,1232,402250,75863048
61,3101.79,32.2579,0,0,0,0,0,1246,406922,76290072
62,3140.09,43.1858,0,0,0,0,0,1256,409445,76543728
63,3178.42,38.3153,0,0,0,0,0,1265,412806,76851360
64,3218.26,38.3131,0,0,0,0,0,1278,416817,77203920
65,3259.78,39.8421,0,0,0,0,0,1292,421464,77655072
66,3296.81,41.5168,0,0,0,0,0,1302,424592,77835096
67,3326.08,37.0409,0,0,0,0,0,1309,426908,78036128
68,3361.72,29.2673,0,0,0,0,0,1317,429166,78241736
69,3393.46,35.6617,0,0,0,0,0,1326,432173,78476464
70,3438.22,31.7203,0,0,0,0,0,1334,433494,78724400
71,3479.56,44.7612,0,0,0,0,0,1347,436502,78904736
72,3525.8,41.3312,0,0,0,0,0,1357,440882,79330928
73,3560.16,46.2632,0,0,0,0,0,1363,442786,79486096
74,3598.46,34.4261,0,0,0,0,0,1372,445981,79747032
75,3627.32,38.2291,0,0,0,0,0,1380,448629,79975728
76,3661.33,28.8634,0,0,0,0,0,1388,451825,80223872
77,3696.31,33.9878,0,0,0,0,0,1396,453686,80352000
78,3737.02,34.9849,0,0,0,0,0,1410,457198,80644864
79,3767.69,41.0883,0,0,0,0,0,1418,459394,80778088
80,3804.38,30.2869,0,0,0,0,0,1428,462613,81030600
81,3836.24,36.9274,0,0,0,0,0,1436,464586,81179840
82,3875.79,31.6239,0,0,0,0,0,1449,468336,81472288
83,3915.2,39.5727,0,0,0,0,0,1456,470545,81696720
84,3952.44,39.3842,0,0,0,0,0,1463,473656,82003000
85,3986.79,37.2517,0,0,0,0,0,1472,477510,82304808
86,4002.87,34.4696,0,0,0,0,0,1482,480945,82541408
87,4010.22,15.9549,0,0,0,0,0,1483,481217,82653208
88,4012.23,7.3582,0,0,0,0,0,1485,481977,82653208
89,4017.47,1.9943,0,0,0,0,0,1485,481977,82653208
90,4027.41,5.2435,0,0,0,0,0,1485,481977,82653208
91,4035.48,9.9471,0,0,0,0,0,1485,481977,82653208
92,4045.13,8.0642,0,0,0,0,0,1485,481977,82653208
93,4050.7,9.6575,0,0,0,0,0,1485,481977,82653208
94,4060.62,5.5595,0,0,0,0,0,1485,481977,82653208
95,4069.06,9.9296,0,0,0,0,0,1485,481977,82653208
96,4078.41,8.4363,0,0,0,0,0,1485,481977,82653208
97,4087.68,9.3502,0,0,0,0,0,1485,481977,82653208
98,4097.83,9.2671,0,0,0,0,0,1485,481977,82653208
99,4106.62,10.3782,0,0,0,0,0,1485,481977,82653208
100,4115.3,8.5617,0,0,0,0,0,1485,481977,82653208
101,4121.42,8.8749,0,0,0,0,0,1485,481977,82653208
102,4133.09,5.9349,0,0,0,0,0,1485,481977,82653208
103,4140.72,11.7593,0,0,0,0,0,1485,481977,82653208
104,4149.38,7.5497,0,0,0,0,0,1485,481977,82653208
105,4159.54,8.7348,0,0,0,0,0,1485,481977,82653208
106,4168.27,10.3616,0,0,0,0,0,1485,481977,82653208
107,4177.6,8.7924,0,0,0,0,0,1485,481977,82653208
108,4184.76,9.2583,0,0,0,0,0,1485,481977,82653208
109,4187.31,7.1615,0,0,0,0,0,1485,481977,82653208
110,4189.27,2.5329,0,0,0,0,0,1485,481977,82653208
111,4191.79,1.6928,0,0,0,0,0,1485,481977,82653208
112,4193.44,2.7592,0,0,0,0,0,1485,481977,82653208
113,4194.79,1.4142,0,0,0,0,0,1485,481977,82653208
114,4196.39,1.3447,0,0,0,0,0,1485,481977,82653208
115,4198.77,1.7844,0,0,0,0,0,1485,481977,82653208
116,4201.68,2.4514,0,0,0,0,0,1485,481977,82653208
117,4203.81,2.6777,0,0,0,0,0,1485,481977,82653208
118,4205.41,2.1093,0,0,0,0,0,1485,481977,82653208
119,4207.13,1.7249,0,0,0,0,0,1485,481977,82653208
120,4209.19,1.7955,0,0,0,0,0,1485,481977,82653208
121,4211.74,1.8884,0,0,0,0,0,1485,481977,82653208
122,4213.46,2.7486,0,0,0,0,0,1485,481977,82653208
123,4215.34,1.6028,0,0,0,0,0,1485,481977,82653208
124,4216.99,1.7657,0,0,0,0,0,1485,481977,82653208
125,4218.83,1.6954,0,0,0,0,0,1485,481977,82653208
126,4221.28,1.7981,0,0,0,0,0,1485,481977,82653208
127,4223.07,2.4505,0,0,0,0,0,1485,481977,82653208
128,4224.79,1.9947,0,0,0,0,0,1485,481977,82653208
129,4226.49,1.7831,0,0,0,0,0,1485,481977,82653208
130,4228.05,1.4205,0,0,0,0,0,1485,481977,82653208
131,4231.38,1.8232,0,0,0,0,0,1485,481977,82653208
132,4233.18,3.1235,0,0,0,0,0,1485,481977,82653208
133,4234.78,1.7526,0,0,0,0,0,1485,481977,82653208
134,4236.34,1.5956,0,0,0,0,0,1485,481977,82653208
135,4238.1,1.6928,0,0,0,0,0,1485,481977,82653208
136,4240.14,1.8926,0,0,0,0,0,1485,481977,82653208
137,4242.17,1.9745,0,0,0,0,0,1485,481977,82653208
138,4243.62,1.8289,0,0,0,0,0,1485,481977,82653208
139,4245.23,1.5378,0,0,0,0,0,1485,481977,82653208
140,4255.29,9.493,0,0,0,0,0,1485,481977,82653208
141,4258.5,3.1939,0,0,0,0,0,1485,481977,82653208
142,4260.52,2.5887,0,0,0,0,0,1485,481977,82653208
143,4262.91,2.5679,0,0,0,0,0,1485,481977,82653208
144,4264.57,1.7129,0,0,0,0,0,1485,481977,82653208
145,4266.08,1.6864,0,0,0,0,0,1485,481977,82653208
146,4267.89,1.5921,0,0,0,0,0,1485,481977,82653208
147,4270.67,2.3303,0,0,0,0,0,1485,481977,82653208
148,4272.49,2.2161,0,0,0,0,0,1485,481977,82653208
149,4274.65,2.2451,0,0,0,0,0,1485,481977,82653208
150,4276.25,1.7087,0,0,0,0,0,1485,481977,82653208
151,4280.4,2.6047,0,0,0,0,0,1485,481977,82653208
152,4283.05,3.8811,0,0,0,0,0,1485,481977,82653208
153,4285.07,2.0114,0,0,0,0,0,1485,481977,82653208
154,4286.83,1.9626,0,0,0,0,0,1485,481977,82653208
155,4289.08,2.0082,0,0,0,0,0,1485,481977,82653208
156,4291.24,2.0997,0,0,0,0,0,1485,481977,82653208
157,4293.69,2.6805,0,0,0,0,0,1485,481977,82653208
158,4295.33,1.7776,0,0,0,0,0,1485,481977,82653208
159,4296.56,1.255,0,0,0,0,0,1485,481977,82653208
160,4298.15,1.7079,0,0,0,0,0,1485,481977,82653208
161,4301.07,1.9579,0,0,0,0,0,1485,481977,82653208
162,4303.58,3.0852,0,0,0,0,0,1485,481977,82653208
163,4305.58,2.017,0,0,0,0,0,1485,481977,82653208
164,4307.64,1.9012,0,0,0,0,0,1485,481977,82653208
165,4312.24,4.3991,0,0,0,0,0,1485,481977,82653208
166,4314.68,2.583,0,0,0,0,0,1485,481977,82653208
167,4316.62,2.4122,0,0,0,0,0,1485,481977,82653208
168,4318.91,2.1116,0,0,0,0,0,1485,481977,82653208
169,4320.26,1.4504,0,0,0,0,0,1485,481977,82653208
170,4322.61,2.1511,0,0,0,0,0,1485,481977,82653208
171,4324.94,1.9942,0,0,0,0,0,1485,481977,82653208
172,4326.54,2.2464,0,0,0,0,0,1485,481977,82653208
173,4328.16,1.6835,0,0,0,0,0,1485,481977,82653208
174,4330.12,1.7448,0,0,0,0,0,1485,481977,82653208
175,4332.28,2.2587,0,0,0,0,0,1485,481977,82653208
176,4333.44,1.2544,0,0,0,0,0,1485,481977,82653208
177,4335.11,1.6722,0,0,0,0,0,1485,481977,82653208
178,4337.48,1.9646,0,0,0,0,0,1485,481977,82653208
179,4342.71,5.14,0,0,0,0,0,1485,481977,82653208
180,4344.36,2.0312,0,0,0,0,0,1485,481977,82653208
181,4346.99,1.9881,0,0,0,0,0,1485,481977,82653208
182,4349.27,3.002,0,0,0,0,0,1485,481977,82653208
183,4351.68,2.3439,0,0,0,0,0,1485,481977,82653208
184,4353.17,1.6358,0,0,0,0,0,1485,481977,82653208
185,4355.71,2.1718,0,0,0,0,0,1485,481977,82653208
186,4357.75,2.044,0,0,0,0,0,1485,481977,82653208
187,4359.28,1.8437,0,0,0,0,0,1485,481977,82653208
188,4361.88,1.9867,0,0,0,0,0,1485,481977,82653208
189,4363.49,2.1357,0,0,0,0,0,1485,481977,82653208
190,4365.34,1.9149,0,0,0,0,0,1485,481977,82653208
191,4367.86,1.8825,0,0,0,0,0,1485,481977,82653208
192,4371.34,3.1782,0,0,0,0,0,1485,481977,82653208
193,4373.82,2.9283,0,0,0,0,0,1485,481977,82653208
194,4376.27,2.3731,0,0,0,0,0,1485,481977,82653208
195,4383.5,6.8457,0,0,0,0,0,1485,481977,82653208
196,4388.61,5.3239,0,0,0,0,0,1485,481977,82653208
197,4393.86,4.7014,0,0,0,0,0,1485,481977,82653208
198,4396.43,3.3111,0,0,0,0,0,1485,481977,82653208
199,4399.01,2.7613,0,0,0,0,0,1485,481977,82653208
200,4401.16,2.0451,0,0,0,0,0,1485,481977,82653208
201,4406.66,4.9086,0,0,0,0,0,1485,481977,82653208
202,4408.18,2.6202,0,0,0,0,0,1485,481977,82653208
203,4410.03,1.7983,0,0,0,0,0,1485,481977,82653208
204,4411.92,1.8444,0,0,0,0,0,1485,481977,82653208
205,4413.48,1.6411,0,0,0,0,0,1485,481977,82653208
206,4415.31,1.8889,0,0,0,0,0,1485,481977,82653208
207,4417.36,1.8008,0,0,0,0,0,1485,481977,82653208
208,4422.95,5.184,0,0,0,0,0,1485,481977,82653208
209,4424.69,2.2049,0,0,0,0,0,1485,481977,82653208
210,4426.16,1.6476,0,0,0,0,0,1485,481977,82653208
211,4428.31,1.5548,0,0,0,0,0,1485,481977,82653208
212,4429.96,2.1921,0,0,0,0,0,1485,481977,82653208
213,4431.75,1.6781,0,0,0,0,0,1485,481977,82653208
214,4433.3,1.63,0,0,0,0,0,1485,481977,82653208
215,4435.31,1.9756,0,0,0,0,0,1485,481977,82653208
216,4437.97,2.4844,0,0,0,0,0,1485,481977,82653208
217,4441.1,2.0397,0,0,0,0,0,1485,481977,82653208
218,4443.7,3.3823,0,0,0,0,0,1485,481977,82653208
219,4446.25,2.0768,0,0,0,0,0,1485,481977,82653208
220,4448.78,3.2564,0,0,0,0,0,1485,481977,82653208
221,4452.2,2.0569,0,0,0,0,0,1485,481977,82653208
222,4455.89,4.0361,0,0,0,0,0,1485,481977,82653208
223,4458.03,2.9324,0,0,0,0,0,1485,481977,82653208
224,4460.32,2.44,0,0,0,0,0,1485,481977,82653208
225,4462.97,2.4678,0,0,0,0,0,1485,481977,82653208
226,4465.2,2.3888,0,0,0,0,0,1485,481977,82653208
227,4468.51,2.7965,0,0,0,0,0,1485,481977,82653208
228,4471.96,3.7223,0,0,0,0,0,1485,481977,82653208
229,4473.84,2.3666,0,0,0,0,0,1485,481977,82653208
230,4475.7,1.7429,0,0,0,0,0,1485,481977,82653208
231,4478.26,1.471,0,0,0,0,0,1485,481977,82653208
232,4481.04,3.659,0,0,0,0,0,1485,481977,82653208
233,4482.93,2.3257,0,0,0,0,0,1485,481977,82653208
234,4484.64,1.8342,0,0,0,0,0,1485,481977,82653208
235,4486.02,1.4461,0,0,0,0,0,1485,481977,82653208
236,4487.92,1.5328,0,0,0,0,0,1485,481977,82653208
237,4489.83,1.9924,0,0,0,0,0,1485,481977,82653208
238,4491.43,1.7251,0,0,0,0,0,1485,481977,82653208
239,4492.85,1.5161,0,0,0,0,0,1485,481977,82653208
240,4493.9,1.0773,0,0,0,0,0,1485,481977,82653208
241,4496.25,1.551,0,0,0,0,0,1485,481977,82653208
242,4497.39,1.8531,0,0,0,0,0,1485,481977,82653208
243,4499.28,1.905,0,0,0,0,0,1485,481977,82653208
244,4500.54,1.1257,0,0,0,0,0,1485,481977,82653208
245,4502.28,1.7488,0,0,0,0,0,1485,481977,82653208
246,4503.86,1.6472,0,0,0,0,0,1485,481977,82653208
247,4505.04,1.1764,0,0,0,0,0,1485,481977,82653208
248,4506.18,1.1881,0,0,0,0,0,1485,481977,82653208
249,4507.63,1.5163,0,0,0,0,0,1485,481977,82653208
250,4508.91,1.0676,0,0,0,0,0,1485,481977,82653208
251,4511.1,1.287,0,0,0,0,0,1485,481977,82653208
252,4513.12,2.7861,0,0,0,0,0,1485,481977,82653208
253,4514.3,1.4208,0,0,0,0,0,1485,481977,82653208
254,4515.3,1.1825,0,0,0,0,0,1485,481977,82653208
255,4517.55,0.997,0,0,0,0,0,1485,481977,82653208
256,4519.05,2.6299,0,0,0,0,0,1485,481977,82653208
257,4520.19,1.1193,0,0,0,0,0,1485,481977,82653208
258,4521.77,1.6766,0,0,0,0,0,1485,481977,82653208
259,4522.79,1.0481,0,0,0,0,0,1485,481977,82653208
260,4523.78,1.0106,0,0,0,0,0,1485,481977,82653208
261,4525.35,0.993,0,0,0,0,0,1485,481977,82653208
262,4526.51,1.5706,0,0,0,0,0,1485,481977,82653208
263,4527.78,1.1601,0,0,0,0,0,1485,481977,82653208
264,4529.1,1.2708,0,0,0,0,0,1485,481977,82653208
265,4530.72,1.3227,0,0,0,0,0,1485,481977,82653208
266,4533.13,2.0359,0,0,0,0,0,1485,481977,82653208
267,4534.3,1.99,0,0,0,0,0,1485,481977,82653208
268,4535.46,1.1736,0,0,0,0,0,1485,481977,82653208
269,4536.54,1.16,0,0,0,0,0,1485,481977,82653208
270,4537.63,1.0786,0,0,0,0,0,1485,481977,82653208
271,4539.46,1.0895,0,0,0,0,0,1485,481977,82653208
272,4541.43,1.8299,0,0,0,0,0,1485,481977,82653208
273,4542.92,1.9831,0,0,0,0,0,1485,481977,82653208
274,4544.04,1.4781,0,0,0,0,0,1485,481977,82653208
275,4545.13,1.1158,0,0,0,0,0,1485,481977,82653208
276,4546.66,1.5164,0,0,0,0,0,1485,481977,82653208
277,4547.75,1.106,0,0,0,0,0,1485,481977,82653208
278,4549.2,1.0909,0,0,0,0,0,1485,481977,82653208
279,4551.36,1.4477,0,0,0,0,0,1485,481977,82653208
280,4552.92,2.1641,0,0,0,0,0,1485,481977,82653208
281,4554.62,1.5569,0,0,0,0,0,1485,481977,82653208
282,4555.72,1.6963,0,0,0,0,0,1485,481977,82653208
283,4557.15,1.1174,0,0,0,0,0,1485,481977,82653208
284,4559.65,1.6632,0,0,0,0,0,1485,481977,82653208
285,4561.68,2.2763,0,0,0,0,0,1485,481977,82653208
286,4562.98,2.0073,0,0,0,0,0,1485,481977,82653208
287,4564.3,1.2973,0,0,0,0,0,1485,481977,82653208
288,4565.48,1.3253,0,0,0,0,0,1485,481977,82653208
289,4567.27,1.1732,0,0,0,0,0,1485,481977,82653208
290,4568.99,1.9002,0,0,0,0,0,1485,481977,82653208
291,4570.86,1.6118,0,0,0,0,0,1485,481977,82653208
292,4572.07,1.8729,0,0,0,0,0,1485,481977,82653208
293,4573.46,1.2195,0,0,0,0,0,1485,481977,82653208
294,4575.68,1.3773,0,0,0,0,0,1485,481977,82653208
295,4577.95,2.2351,0,0,0,0,0,1485,481977,82653208
296,4579.33,2.2634,0,0,0,0,0,1485,481977,82653208
297,4580.65,1.3756,0,0,0,0,0,1485,481977,82653208
298,4581.99,1.3194,0,0,0,0,0,1485,481977,82653208
299,4583.96,1.3451,0,0,0,0,0,1485,481977,82653208
300,4585.32,1.9795,0,0,0,0,0,1485,481977,82653208
301,4587.47,1.3448,0,0,0,0,0,1485,481977,82653208
302,4589.23,2.3622,0,0,0,0,0,1485,481977,82653208
303,4590.94,1.5446,0,0,0,0,0,1485,481977,82653208
304,4593.97,1.7565,0,0,0,0,0,1485,481977,82653208
305,4595.9,2.9985,0,0,0,0,0,1485,481977,82653208
306,4597.5,1.9264,0,0,0,0,0,1485,481977,82653208
307,4599.38,1.5933,0,0,0,0,0,1485,481977,82653208
308,4602.06,1.8812,0,0,0,0,0,1485,481977,82653208
309,4604.63,2.7484,0,0,0,0,0,1485,481977,82653208
310,4606.68,2.6037,0,0,0,0,0,1485,481977,82653208
311,4609.16,1.9467,0,0,0,0,0,1485,481977,82653208
312,4610.67,2.4849,0,0,0,0,0,1485,481977,82653208
313,4611.93,1.5107,0,0,0,0,0,1485,481977,82653208
314,4613.12,1.2532,0,0,0,0,0,1485,481977,82653208
315,4614.32,1.1887,0,0,0,0,0,1485,481977,82653208
316,4615.41,1.2045,0,0,0,0,0,1485,481977,82653208
317,4616.43,1.0845,0,0,0,0,0,1485,481977,82653208
318,4617.46,1.0221,0,0,0,0,0,1485,481977,82653208
319,4619.57,1.0258,0,0,0,0,0,1485,481977,82653208
320,4621.59,2.1787,0,0,0,0,0,1485,481977,82653208
321,4623.94,2.4376,0,0,0,0,0,1485,481977,82653208
322,4625.64,2.3076,0,0,0,0,0,1485,481977,82653208
323,4627.75,1.6775,0,0,0,0,0,1485,481977,82653208
324,4629.49,1.7281,0,0,0,0,0,1485,481977,82653208
325,4631.36,2.1443,0,0,0,0,0,1485,481977,82653208
326,4632.6,1.5152,0,0,0,0,0,1485,481977,82653208
327,4634.99,1.8004,0,0,0,0,0,1485,481977,82653208
328,4638.59,3.1599,0,0,0,0,0,1485,481977,82653208
