#scenario=static,seed=1,durationSec=60,commit=unknown,hardware=unknown
frameNumber,timestampMs,dtMs,cpuRebuildMs,gpuBusyMs,bytesUploaded,uploadBudget,chunksRebuilt,drawCalls,triangles,vramLiveBytes,cpuMemBytes
0,0.0008,1922.02,187.962,0,0,1048576,2,2,394,41994304,73465856
0,195.427,1546.46,95.2,0,0,1048576,1,3,890,42032992,75563008
0,286.8,190.918,112.974,0,0,1048576,1,4,1161,42054104,77660160
0,376.668,91.18,110.604,0,0,1048576,1,4,1161,42057432,79757312
0,458.152,89.8451,101.183,0,0,1048576,1,5,1204,42072928,81854464
0,547.758,81.4048,118.606,0,0,1048576,1,6,1402,42077192,83951616
0,645.343,89.7354,167.511,0,0,1048576,2,9,1952,42115776,86048768
0,726.083,97.5448,0,0,0,1048576,0,9,1952,42115776,88145920
0,813.808,80.6532,213.993,0,0,1048576,2,11,2284,42141672,90243072
0,900.223,87.7158,109.376,0,0,1048576,1,11,2284,42145416,92340224
0,1025.57,86.6706,96.342,0,0,1048576,1,12,2332,42163512,94437376
0,1104.39,125.076,0,0,0,1048576,0,13,2564,42163512,96534528
0,1187.28,78.874,104.896,0,0,1048576,1,13,2564,42174120,98631680
0,1268.89,82.8469,0,0,0,1048576,0,14,2700,42174120,100728832
0,1379.97,81.6131,318.123,0,0,1048576,3,17,3626,42246400,102825984
0,1466.64,111.098,65.788,0,0,1048576,1,17,3626,42267512,104923136
0,1587.57,86.6571,356.073,0,0,1048576,3,20,4413,42317224,107020288
0,1680.32,121.02,119.695,0,0,1048576,1,21,4736,42342392,109117440
0,1769.02,92.8363,0,0,0,1048576,0,21,4736,42342392,111214592
0,1874.1,88.5254,342.025,0,0,1048576,3,24,5338,42389400,113311744
0,2022.45,105.094,355.988,0,0,1048576,4,28,6856,42507752,115408896
0,2114.28,156.526,0,0,0,1048576,0,28,6856,42507752,117506048
0,2193.13,85.5388,0,0,0,1048576,0,28,6856,42507752,119603200
0,2268.71,77.6726,0,0,0,1048576,0,28,6856,42507752,121700352
0,2344.87,76.7142,0,0,0,1048576,0,28,6856,42507752,123797504
0,2439.57,75.29,196.025,0,0,1048576,2,30,7676,42571712,125894656
0,2521.22,94.7148,59.305,0,0,1048576,1,30,7676,42593136,127991808
0,2608.48,81.8493,0,0,0,1048576,0,31,7950,42593136,130088960
0,2695.73,86.8617,227.42,0,0,1048576,2,32,8205,42624440,132186112
0,2792.98,87.3601,119.474,0,0,1048576,1,33,8352,42637336,134283264
0,3017.8,169.073,0,0,0,1048576,0,34,8517,42637336,136380416
0,3134.18,152.572,179.745,0,0,1048576,2,34,8517,42698696,138477568
0,3216.37,116.592,0,0,0,1048576,0,36,9304,42698696,140574720
0,3298.5,81.791,94.472,0,0,1048576,1,37,9876,42743312,142671872
0,3388.73,81.8338,39.662,0,0,1048576,1,37,9876,42786576,144769024
0,3463.26,90.7478,0,0,0,1048576,0,38,10430,42786576,146866176
0,3547.68,74.6037,0,0,0,1048576,0,38,10430,42786576,148963328
0,3671.17,84.712,250.036,0,0,1048576,3,41,11341,42857608,151060480
0,3767.22,125.628,93.487,0,0,1048576,1,41,11341,42930408,153157632
0,3850.68,93.3911,100.771,0,0,1048576,1,42,12274,42948504,155254784
0,3947.94,83.0893,92.274,0,0,1048576,1,42,12274,42979080,157351936
0,4035.3,97.2716,69.225,0,0,1048576,1,43,12666,43001648,159449088
0,4139.56,90.2068,100.875,0,0,1048576,1,44,12956,43019848,161546240
0,4230.27,102.541,221.09,0,0,1048576,2,46,13982,43087864,163643392
0,4327.04,90.2806,137.283,0,0,1048576,2,49,14892,43152656,165740544
0,4417.32,96.2023,0,0,0,1048576,0,49,14892,43152656,167837696
0,4524.2,93.6057,300.503,0,0,1048576,3,51,15018,43176472,169934848
