#scenario=static,seed=1,durationSec=60,commit=unknown,hardware=unknown
frameNumber,chunkId,meshingUs,vertexCount
1,1840697358,7417,1072
1,1840697382,7922,192
1,1227132930,8020,400
1,14,7315,740
1,1840697634,7595,872
1,1840697606,8730,768
1,1840697862,6601,2980
1,1227133447,8367,708
1,42,6748,1432
1,1840697383,7391,948
1,1840697603,7561,524
1,1840698150,5156,972
1,1840697347,6775,648
1,1840697602,7977,156
1,1840697378,7505,588
1,806,4378,1332
1,1840697639,6914,668
1,1227133739,8424,80
1,1227133735,7966,140
1,1840698178,7066,952
1,1840697959,8713,568
1,1840699747,8713,536
1,613566507,8737,132
1,774,3463,592
1,1840699399,7146,1496
1,1227135783,7213,784
1,298,6170,1120
1,271,6027,880
1,71,4822,1484
1,807,4181,1200
1,1840699723,6016,1244
1,1840699722,5642,1444
1,1840697955,7905,20
1,1227133003,7524,1440
1,1227135851,7327,48
1,613564486,7093,644
1,1227149387,7945,312
1,810,5129,1064
1,1840699938,4187,1412
1,613565283,8265,376
1,1840699950,5455,1044
1,1227133007,8233,352
1,16907,5075,868
1,1227133711,8581,56
1,613568518,8178,1276
1,2603,6025,808
1,613567270,8471,432
1,1840697954,8564,680
1,1840700002,6540,448
1,1840697679,4702,608
1,2051,8619,876
1,1840700011,8786,52
1,1840699458,5407,1180
1,2082,7518,40
1,613567054,7722,808
1,16450,7820,220
1,613566767,7909,600
1,1840699751,7409,32
1,618,7721,280
1,75,6390,1404
1,613565294,7367,652
1,2854,6763,1344
1,2606,4509,1488
1,613565287,7871,420
1,1840699471,4995,540
1,2594,4492,544
1,1840697699,5754,760
2,1840697643,5756,652
2,2670,8163,732
2,2154,3991,1056
2,1227135846,7864,740
2,1227133561,5598,2696
2,613566769,5958,1256
2,1227133479,8524,296
2,2050,7627,428
2,613570818,7389,620
2,1227135847,7999,1336
2,2851,6208,1288
2,2635,8180,116
2,1227135779,7095,856
2,16451,8631,408
2,1227133710,7797,408
2,2095,6337,2304
2,613566567,8023,100
2,1227149898,5973,740
2,1840700175,4973,1292
2,366,5278,1136
2,1227135790,7946,1252
2,2859,5914,760
2,613570566,7664,456
2,43,6309,864
2,16962,5872,1892
2,547,4969,2324
2,1840698183,7291,1356
2,2658,5150,1340
2,2562,5100,1444
2,1840699491,4611,708
2,613565250,7348,36
2,811,4693,588
2,1227132962,5945,1392
2,1227133487,7476,128
2,2922,6869,312
2,1840697866,7954,120
2,613567087,7683,268
2,1840697903,5721,1244
2,1840697387,6275,476
2,1840700170,4319,588
2,1227133802,8003,24
2,1840697671,4981,1832
2,1840697642,6289,876
2,1227132970,7903,284
2,613565263,6340,792
2,1227133446,7702,652
2,803,4106,1096
2,2054,7699,164
2,613570598,7247,216
2,1840699495,5148,1064
2,613566466,7673,1008
2,2818,4270,1220
2,613568550,6036,676
2,1840700167,4154,732
2,1840699426,7485,472
2,1227133191,8106,524
2,2822,4993,1880
2,1840700259,7249,652
2,1840698151,4607,444
2,1840700198,5504,1224
2,1227149834,6680,716
